Slide Number,Star,tlx,tly,brx,bry,Extra Text,,,,,cx,cy,,,,,,,,,
C QUIZ,3,5,59,59,67,Right,996,583,902,67,,,,,,,,,,,
C QUIZ,4,4,68,53,76,Wrong,900,662,823,73,,,,,,,,,,,
D QUIZ,1,3,37,22,46,Wrong,378,402,317,79,,,,,,,,,,,
D QUIZ,2,3,48,21,56,Right,359,487,296,70,,,,,,,,,,,
D QUIZ,3,4,58,21,65,Wrong,351,568,284,64,,,,,,,,,,,
D QUIZ,4,5,70,23,77,Wrong,400,672,309,62,,,,,,,,,,,
E QUIZ,1,5,37,72,47,Right,1217,411,1121,88,,,,,,,,,,,
E QUIZ,2,5,49,43,57,Wrong,726,494,630,62,,,,,,,,,,,
E QUIZ,3,5,57,45,67,Wrong,753,587,668,92,,,,,,,,,,,
F QUIZ,1,3,37,24,44,Wrong,409,388,345,65,,,,,,,,,,,
F QUIZ,2,4,47,25,56,Right,421,485,341,73,,,,,,,,,,,
F QUIZ,3,4,58,21,66,Wrong,361,571,286,68,,,,,,,,,,,
F QUIZ,4,4,67,17,74,Right,299,647,221,66,,,,,,,,,,,
